repeat,layer,AUROC,Accuracy,F1
2,9,0.4505,0.44000000000000006,0.42272551296941535
2,10,0.42300000000000004,0.465,0.4366666666666667
2,11,0.43149999999999994,0.4749999999999999,0.4377946987234913
2,12,0.501,0.5,0.4648596115425718
2,13,0.4585,0.45499999999999996,0.43003992354600085
2,14,0.4715,0.475,0.4560392061622901
2,15,0.4305,0.465,0.4618492369134217
2,16,0.47650000000000003,0.49000000000000005,0.48098290598290594
2,17,0.48,0.52,0.5021275121275122
2,18,0.5010000000000001,0.545,0.527409161148704
2,19,0.5255,0.57,0.5720940452647769
2,20,0.5055,0.55,0.5477633477633478
2,21,0.48200000000000004,0.515,0.495582848524025
2,22,0.521,0.515,0.5097596276085978
2,23,0.5469999999999999,0.54,0.5446264898438811
2,24,0.5685,0.535,0.5298102047262182
3,0,0.5199999999999999,0.5199999999999999,0.3408535270604236
3,1,0.49799999999999994,0.48,0.4856841167551666
3,2,0.488,0.48,0.4567676226212812
3,3,0.446,0.47000000000000003,0.4649611834464209
3,4,0.40700000000000003,0.44000000000000006,0.4101504881992687
3,5,0.42750000000000005,0.45499999999999996,0.4320879120879121
3,6,0.485,0.4699999999999999,0.46159952896795
3,7,0.555,0.535,0.5191575091575091
3,8,0.49350000000000005,0.49000000000000005,0.48827357673821536
3,9,0.4925,0.5,0.4631212689749275
3,10,0.504,0.5449999999999999,0.54950528290708
3,11,0.5824999999999999,0.5549999999999999,0.5490880301529015
3,12,0.5609999999999999,0.56,0.5532028946663093
3,13,0.5555,0.57,0.5559586727751041
3,14,0.55,0.54,0.5293821872769241
3,15,0.5395000000000001,0.54,0.5310256410256411
3,16,0.4955,0.48999999999999994,0.4923494214833738
3,17,0.5045,0.515,0.512800326458863
3,18,0.4955,0.495,0.4851994851994853
3,19,0.4955,0.51,0.5149999999999999
3,20,0.49499999999999994,0.475,0.48997138336482154
3,21,0.487,0.505,0.5191427972823321
3,22,0.47050000000000003,0.475,0.466629774832599
3,23,0.48650000000000004,0.49000000000000005,0.4893709884467266
3,24,0.49350000000000005,0.5,0.4885971965561183
4,0,0.53,0.53,0.6295195001077353
4,1,0.45899999999999996,0.485,0.4882141250562303
4,2,0.45499999999999996,0.485,0.5029059829059829
4,3,0.4415,0.43499999999999994,0.4463757445152794
4,4,0.44349999999999995,0.5199999999999999,0.5396755603553735
4,5,0.4625,0.4800000000000001,0.5091698413273098
4,6,0.45149999999999996,0.505,0.5162797123707563
4,7,0.461,0.49499999999999994,0.4973506902561507
4,8,0.503,0.52,0.5491204908843615
4,9,0.4959999999999999,0.515,0.5135191637630662
4,10,0.508,0.495,0.4967334138213815
4,11,0.601,0.5599999999999999,0.5484415584415584
4,12,0.5405,0.5549999999999999,0.5561237678310849
4,13,0.546,0.53,0.5291812574409309
4,14,0.5365,0.53,0.5364898497302679
4,15,0.5425,0.54,0.5333840061747039
4,16,0.473,0.485,0.4900854700854701
4,17,0.48949999999999994,0.49000000000000005,0.48191583970220675
4,18,0.5055,0.52,0.516268928502971
4,19,0.4305,0.445,0.4156924547622222
4,20,0.4629999999999999,0.475,0.4706541323932628
4,21,0.4605,0.48,0.47661072972285784
4,22,0.4619999999999999,0.475,0.4678917478917479
4,23,0.44700000000000006,0.485,0.4936479238918263
4,24,0.48950000000000005,0.51,0.5280906414882592
5,0,0.45999999999999996,0.4600000000000001,0.3710326797385621
5,1,0.46699999999999997,0.49000000000000005,0.46770066889632106
5,2,0.4840000000000001,0.52,0.4988792129742066
5,3,0.4725,0.5,0.4704992540679319
5,4,0.4445,0.485,0.4305195320675197
5,5,0.5125,0.5449999999999999,0.5079354738370083
5,6,0.506,0.5050000000000001,0.47471742365438685
5,7,0.5195000000000001,0.52,0.49965185460163947
5,8,0.5265,0.5199999999999999,0.506754080322758
5,9,0.5599999999999999,0.55,0.5305991627441309
5,10,0.5199999999999999,0.525,0.5091541880717031
5,11,0.5365,0.555,0.5314209122690656
5,12,0.5514999999999999,0.525,0.5117195586368519
5,13,0.5285,0.53,0.508048027044355
5,14,0.525,0.525,0.5143619464560143
5,15,0.546,0.525,0.512320547669385
5,16,0.521,0.5,0.49071089586493943
5,17,0.538,0.505,0.4799061666505994
5,18,0.5255,0.515,0.5091252857560289
5,19,0.5325,0.53,0.5272951948788591
5,20,0.522,0.5349999999999999,0.5232665611845837
5,21,0.564,0.555,0.5343053694273208
5,22,0.5685,0.57,0.5425172066476414
5,23,0.523,0.55,0.5415398952408497
5,24,0.5325,0.565,0.5445791527313266
6,0,0.55,0.55,0.6452239621215362
6,1,0.5775,0.57,0.553953823953824
6,2,0.541,0.53,0.5163964717453089
6,3,0.5535,0.5349999999999999,0.5157271557271557
6,4,0.5079999999999999,0.48500000000000004,0.4644444444444445
6,5,0.512,0.525,0.4995984232569598
6,6,0.575,0.54,0.5225865500592629
6,7,0.5730000000000001,0.58,0.565669019327556
6,8,0.5399999999999999,0.5599999999999999,0.5429893549268595
6,9,0.5605,0.5799999999999998,0.5697176167764403
6,10,0.5964999999999999,0.5650000000000001,0.5393481219880072
6,11,0.5575,0.56,0.537084204311095
6,12,0.5384999999999999,0.545,0.524818532404234
6,13,0.49450000000000005,0.49000000000000005,0.49795961600839656
6,14,0.5155,0.52,0.49151359251103505
6,15,0.491,0.485,0.4808613564540961
6,16,0.49749999999999994,0.48,0.4741894349903504
6,17,0.5245,0.485,0.4705765145623676
6,18,0.5959999999999999,0.5900000000000001,0.5777761836441894
6,19,0.5625,0.5650000000000001,0.5383826945412312
6,20,0.6125,0.55,0.5167880468389806
6,21,0.6174999999999999,0.61,0.5988593434806528
6,22,0.587,0.5900000000000001,0.5728039002704863
6,23,0.6020000000000001,0.575,0.5600999517278586
6,24,0.5715,0.55,0.5549043468489288
7,0,0.53,0.53,0.35260854088440297
7,1,0.566,0.5599999999999999,0.5556764008937922
7,2,0.5465,0.53,0.5362279557401509
7,3,0.5895,0.575,0.5778048780487806
7,4,0.5415000000000001,0.5,0.48912708600770216
7,5,0.53,0.53,0.5352063414964571
7,6,0.5585,0.5200000000000001,0.5157554256049467
7,7,0.5625,0.5650000000000001,0.5543345543345544
7,8,0.532,0.5,0.49706709956709955
7,9,0.5369999999999999,0.51,0.5076680400333264
7,10,0.45899999999999996,0.47000000000000003,0.4842303433001107
7,11,0.46699999999999997,0.44000000000000006,0.4423780381185522
7,12,0.4725,0.465,0.4479599075174798
7,13,0.5029999999999999,0.48,0.4465039938724149
7,14,0.48,0.515,0.5065416936005172
7,15,0.4965,0.515,0.503723108676669
7,16,0.48550000000000004,0.485,0.45903481810458563
7,17,0.47450000000000003,0.48,0.4643596169911959
7,18,0.476,0.48999999999999994,0.4683017314596262
7,19,0.4784999999999999,0.49000000000000005,0.4806606432922223
