split,layer,fold,heldout_group,train_samples,test_samples,test_positive,auroc,accuracy,precision,recall,f1
source_id_group5,11,0,pkck_0000,189,48,27,0.9664902998236331,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,11,1,pkck_0004,189,48,28,0.9571428571428572,0.8958333333333334,0.96,0.8571428571428571,0.9056603773584906
source_id_group5,11,2,pkck_0002,190,47,25,0.9709090909090909,0.8723404255319149,0.88,0.88,0.88
source_id_group5,11,3,pkck_0005,190,47,22,0.9490909090909092,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,11,4,pkck_0001,190,47,24,1.0,0.9787234042553191,0.96,1.0,0.9795918367346939
source_id_group5,12,0,pkck_0000,189,48,27,0.9594356261022928,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,12,1,pkck_0004,189,48,28,0.9660714285714287,0.8958333333333334,0.9259259259259259,0.8928571428571429,0.9090909090909091
source_id_group5,12,2,pkck_0002,190,47,25,0.9709090909090909,0.8936170212765957,0.9166666666666666,0.88,0.8979591836734694
source_id_group5,12,3,pkck_0005,190,47,22,0.9563636363636365,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,12,4,pkck_0001,190,47,24,1.0,1.0,1.0,1.0,1.0
source_id_group5,13,0,pkck_0000,189,48,27,0.9611992945326279,0.9166666666666666,1.0,0.8518518518518519,0.92
source_id_group5,13,1,pkck_0004,189,48,28,0.9821428571428572,0.9166666666666666,0.9615384615384616,0.8928571428571429,0.9259259259259259
source_id_group5,13,2,pkck_0002,190,47,25,0.9745454545454545,0.9148936170212766,0.92,0.92,0.92
source_id_group5,13,3,pkck_0005,190,47,22,0.9527272727272729,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,13,4,pkck_0001,190,47,24,1.0,0.9787234042553191,1.0,0.9583333333333334,0.9787234042553191
source_id_group5,14,0,pkck_0000,189,48,27,0.9611992945326279,0.9166666666666666,1.0,0.8518518518518519,0.92
source_id_group5,14,1,pkck_0004,189,48,28,0.9803571428571429,0.9375,0.9629629629629629,0.9285714285714286,0.9454545454545454
source_id_group5,14,2,pkck_0002,190,47,25,0.98,0.9148936170212766,0.9565217391304348,0.88,0.9166666666666666
source_id_group5,14,3,pkck_0005,190,47,22,0.9527272727272729,0.9148936170212766,0.9090909090909091,0.9090909090909091,0.9090909090909091
source_id_group5,14,4,pkck_0001,190,47,24,1.0,0.9787234042553191,0.96,1.0,0.9795918367346939
source_id_group5,15,0,pkck_0000,189,48,27,0.9611992945326279,0.9166666666666666,1.0,0.8518518518518519,0.92
source_id_group5,15,1,pkck_0004,189,48,28,0.9857142857142858,0.9166666666666666,0.9285714285714286,0.9285714285714286,0.9285714285714286
source_id_group5,15,2,pkck_0002,190,47,25,0.9690909090909091,0.8936170212765957,0.9166666666666666,0.88,0.8979591836734694
source_id_group5,15,3,pkck_0005,190,47,22,0.9272727272727274,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,15,4,pkck_0001,190,47,24,1.0,0.9787234042553191,0.96,1.0,0.9795918367346939
source_id_group5,16,0,pkck_0000,189,48,27,0.962962962962963,0.9166666666666666,1.0,0.8518518518518519,0.92
source_id_group5,16,1,pkck_0004,189,48,28,0.9875,0.9375,0.9629629629629629,0.9285714285714286,0.9454545454545454
source_id_group5,16,2,pkck_0002,190,47,25,0.9709090909090909,0.9148936170212766,0.92,0.92,0.92
